tissue	ensembl	gene_symbol	clust
AOR	ENSG00000255201	RP11-350N15.4	158
AOR	ENSG00000254192	CTC-558O2.2	158
AOR	ENSG00000236200	KDM4A-AS1	158
AOR	ENSG00000226167	AP4B1-AS1	158
LIV	ENSG00000229344	MTCO2P12	158
MAM	ENSG00000130830	MPP1	158
MAM	ENSG00000173535	TNFRSF10C	158
MAM	ENSG00000182885	ADGRG3	158
MAM	ENSG00000204420	C6orf25	158
MAM	ENSG00000117115	PADI2	158
MAM	ENSG00000177324	BEND2	158
MAM	ENSG00000180667	YOD1	158
MAM	ENSG00000181274	FRAT2	158
MAM	ENSG00000074966	TXK	158
MAM	ENSG00000103569	AQP9	158
MAM	ENSG00000163735	CXCL5	158
MAM	ENSG00000251095	RP11-115D19.1	158
MAM	ENSG00000142765	SYTL1	158
MAM	ENSG00000143297	FCRL5	158
MAM	ENSG00000128383	APOBEC3A	158
MAM	ENSG00000244734	HBB	158
MAM	ENSG00000196549	MME	158
MAM	ENSG00000163736	PPBP	158
MAM	ENSG00000151948	GLT1D1	158
MAM	ENSG00000150637	CD226	158
MAM	ENSG00000109674	NEIL3	158
MAM	ENSG00000172575	RASGRP1	158
MAM	ENSG00000181036	FCRL6	158
MAM	ENSG00000084110	HAL	158
MAM	ENSG00000171236	LRG1	158
MAM	ENSG00000159023	EPB41	158
MAM	ENSG00000237943	PRKCQ-AS1	158
MAM	ENSG00000103313	MEFV	158
MAM	ENSG00000151651	ADAM8	158
MAM	ENSG00000073861	TBX21	158
MAM	ENSG00000198876	DCAF12	158
MAM	ENSG00000152495	CAMK4	158
MAM	ENSG00000100453	GZMB	158
MAM	ENSG00000157551	KCNJ15	158
MAM	ENSG00000198574	SH2D1B	158
MAM	ENSG00000182782	HCAR2	158
MAM	ENSG00000076662	ICAM3	158
MAM	ENSG00000091181	IL5RA	158
MAM	ENSG00000163221	S100A12	158
MAM	ENSG00000115607	IL18RAP	158
MAM	ENSG00000170956	CEACAM3	158
MAM	ENSG00000150045	KLRF1	158
MAM	ENSG00000000938	FGR	158
MAM	ENSG00000174837	ADGRE1	158
MAM	ENSG00000170180	GYPA	158
MAM	ENSG00000184792	OSBP2	158
MAM	ENSG00000142405	NLRP12	158
MAM	ENSG00000163993	S100P	158
MAM	ENSG00000138795	LEF1	158
MAM	ENSG00000115523	GNLY	158
MAM	ENSG00000134539	KLRD1	158
