tissue	ensembl	gene_symbol	clust
AOR	ENSG00000124593	PRICKLE4	18
LIV	ENSG00000173535	TNFRSF10C	18
LIV	ENSG00000182885	ADGRG3	18
LIV	ENSG00000118113	MMP8	18
LIV	ENSG00000117115	PADI2	18
LIV	ENSG00000176788	BASP1	18
LIV	ENSG00000146094	DOK3	18
LIV	ENSG00000132965	ALOX5AP	18
LIV	ENSG00000138166	DUSP5	18
LIV	ENSG00000167995	BEST1	18
LIV	ENSG00000100368	CSF2RB	18
LIV	ENSG00000232810	TNF	18
LIV	ENSG00000128383	APOBEC3A	18
LIV	ENSG00000244482	LILRA6	18
LIV	ENSG00000158050	DUSP2	18
LIV	ENSG00000179388	EGR3	18
LIV	ENSG00000112149	CD83	18
LIV	ENSG00000204020	LIPN	18
LIV	ENSG00000103313	MEFV	18
LIV	ENSG00000123342	MMP19	18
LIV	ENSG00000096006	CRISP3	18
LIV	ENSG00000105352	CEACAM4	18
LIV	ENSG00000275302	CCL4	18
LIV	ENSG00000277632	CCL3	18
LIV	ENSG00000157551	KCNJ15	18
LIV	ENSG00000119508	NR4A3	18
LIV	ENSG00000169429	CXCL8	18
LIV	ENSG00000076662	ICAM3	18
LIV	ENSG00000163221	S100A12	18
LIV	ENSG00000115607	IL18RAP	18
LIV	ENSG00000170956	CEACAM3	18
LIV	ENSG00000158517	NCF1	18
LIV	ENSG00000125538	IL1B	18
LIV	ENSG00000176597	B3GNT5	18
LIV	ENSG00000142405	NLRP12	18
LIV	ENSG00000090104	RGS1	18
LIV	ENSG00000175857	GAPT	18
LIV	ENSG00000163993	S100P	18
LIV	ENSG00000188042	ARL4C	18
LIV	ENSG00000126262	FFAR2	18
LIV	ENSG00000108405	P2RX1	18
LIV	ENSG00000187037	GPR141	18
LIV	ENSG00000123610	TNFAIP6	18
LIV	ENSG00000085265	FCN1	18
LIV	ENSG00000163464	CXCR1	18
LIV	ENSG00000122877	EGR2	18
LIV	ENSG00000260078	RP11-44F14.1	18
LIV	ENSG00000113070	HBEGF	18
LIV	ENSG00000171049	FPR2	18
LIV	ENSG00000197405	C5AR1	18
LIV	ENSG00000111913	FAM65B	18
LIV	ENSG00000102445	KIAA0226L	18
LIV	ENSG00000178789	CD300LB	18
LIV	ENSG00000159339	PADI4	18
LIV	ENSG00000124731	TREM1	18
LIV	ENSG00000112137	PHACTR1	18
LIV	ENSG00000186431	FCAR	18
LIV	ENSG00000099985	OSM	18
LIV	ENSG00000059728	MXD1	18
LIV	ENSG00000131355	ADGRE3	18
LIV	ENSG00000160593	AMICA1	18
LIV	ENSG00000171051	FPR1	18
LIV	ENSG00000011422	PLAUR	18
LIV	ENSG00000111729	CLEC4A	18
LIV	ENSG00000008516	MMP25	18
LIV	ENSG00000121966	CXCR4	18
LIV	ENSG00000169896	ITGAM	18
LIV	ENSG00000100985	MMP9	18
LIV	ENSG00000116701	NCF2	18
LIV	ENSG00000018280	SLC11A1	18
LIV	ENSG00000123405	NFE2	18
LIV	ENSG00000166523	CLEC4E	18
LIV	ENSG00000141682	PMAIP1	18
LIV	ENSG00000119535	CSF3R	18
LIV	ENSG00000196358	NTNG2	18
LIV	ENSG00000073756	PTGS2	18
LIV	ENSG00000012223	LTF	18
LIV	ENSG00000121316	PLBD1	18
LIV	ENSG00000108700	CCL8	18
LIV	ENSG00000173110	HSPA6	18
LIV	ENSG00000166527	CLEC4D	18
LIV	ENSG00000159388	BTG2	18
LIV	ENSG00000122862	SRGN	18
LIV	ENSG00000162747	FCGR3B	18
LIV	ENSG00000140379	BCL2A1	18
LIV	ENSG00000163563	MNDA	18
LIV	ENSG00000164691	TAGAP	18
LIV	ENSG00000274536	RP6-159A1.4	18
LIV	ENSG00000163220	S100A9	18
LIV	ENSG00000180871	CXCR2	18
LIV	ENSG00000112195	TREML2	18
LIV	ENSG00000165071	TMEM71	18
LIV	ENSG00000167604	NFKBID	18
LIV	ENSG00000163421	PROK2	18
LIV	ENSG00000257335	MGAM	18
LIV	ENSG00000188404	SELL	18
LIV	ENSG00000115828	QPCT	18
LIV	ENSG00000248323	LUCAT1	18
LIV	ENSG00000204577	LILRB3	18
LIV	ENSG00000143546	S100A8	18
LIV	ENSG00000112303	VNN2	18
LIV	ENSG00000116741	RGS2	18
LIV	ENSG00000187116	LILRA5	18
LIV	ENSG00000204936	CD177	18
LIV	ENSG00000140932	CMTM2	18
LIV	ENSG00000124469	CEACAM8	18
LIV	ENSG00000105205	CLC	18
LIV	ENSG00000008438	PGLYRP1	18
LIV	ENSG00000124102	PI3	18
LIV	ENSG00000164047	CAMP	18
LIV	ENSG00000268734	CTB-61M7.2	18
LIV	ENSG00000183019	MCEMP1	18
MAM	ENSG00000242142	SERBP1P3	18
MAM	ENSG00000136982	DSCC1	18
MAM	ENSG00000261105	LMO7-AS1	18
MAM	ENSG00000207988	MIR576	18
