tissue	ensembl	gene_symbol	clust
AOR	ENSG00000079112	CDH17	102
AOR	ENSG00000248206	RP11-739P1.2	102
AOR	ENSG00000215899	RP11-439L8.2	102
AOR	ENSG00000184368	MAP7D2	102
AOR	ENSG00000251580	RP11-539L10.3	102
AOR	ENSG00000272767	JMJD1C-AS1	102
AOR	ENSG00000129204	USP6	102
AOR	ENSG00000272277	RP1-40E16.12	102
BLOOD	ENSG00000269952	RP11-324I22.3	102
LIV	ENSG00000068308	OTUD5	102
LIV	ENSG00000127586	CHTF18	102
LIV	ENSG00000236540	AC006547.13	102
LIV	ENSG00000127511	SIN3B	102
LIV	ENSG00000133619	KRBA1	102
LIV	ENSG00000280211	RP11-2C24.3	102
LIV	ENSG00000213347	MXD3	102
LIV	ENSG00000273576	RP11-390P24.1	102
LIV	ENSG00000167302	ENTHD2	102
LIV	ENSG00000256690	RP11-727F15.9	102
LIV	ENSG00000236017	ASMTL-AS1	102
LIV	ENSG00000247982	LINC00926	102
LIV	ENSG00000181404	WASH1	102
LIV	ENSG00000124257	NEURL2	102
LIV	ENSG00000168026	TTC21A	102
LIV	ENSG00000065357	DGKA	102
LIV	ENSG00000278784	RP11-468E2.11	102
LIV	ENSG00000197599	CCDC154	102
LIV	ENSG00000279253	RP4-614O4.13	102
LIV	ENSG00000167992	VWCE	102
LIV	ENSG00000179698	WDR97	102
LIV	ENSG00000158717	RNF166	102
LIV	ENSG00000160957	RECQL4	102
LIV	ENSG00000174886	NDUFA11	102
LIV	ENSG00000279066	HEXDC-IT1	102
LIV	ENSG00000200530	SNORD35B	102
LIV	ENSG00000186010	NDUFA13	102
LIV	ENSG00000157353	FUK	102
LIV	ENSG00000266714	MYO15B	102
LIV	ENSG00000038002	AGA	102
LIV	ENSG00000144589	STK11IP	102
LIV	ENSG00000238917	SNORD10	102
LIV	ENSG00000225828	FAM229A	102
LIV	ENSG00000187609	EXD3	102
LIV	ENSG00000215440	NPEPL1	102
LIV	ENSG00000100445	SDR39U1	102
LIV	ENSG00000161526	SAP30BP	102
LIV	ENSG00000182873	RP11-181G12.2	102
LIV	ENSG00000213397	HAUS7	102
LIV	ENSG00000162976	PQLC3	102
LIV	ENSG00000137509	PRCP	102
LIV	ENSG00000084764	MAPRE3	102
LIV	ENSG00000073670	ADAM11	102
LIV	ENSG00000205959	RP11-689P11.2	102
LIV	ENSG00000224086	LL22NC03-86G7.1	102
LIV	ENSG00000128159	TUBGCP6	102
LIV	ENSG00000114993	RTKN	102
LIV	ENSG00000215305	VPS16	102
LIV	ENSG00000141519	CCDC40	102
LIV	ENSG00000131558	EXOC4	102
LIV	ENSG00000058453	CROCC	102
LIV	ENSG00000061936	SFSWAP	102
LIV	ENSG00000006125	AP2B1	102
LIV	ENSG00000124006	OBSL1	102
LIV	ENSG00000186704	DTX2P1	102
LIV	ENSG00000267896	AC018766.4	102
LIV	ENSG00000182324	KCNJ14	102
LIV	ENSG00000205085	FAM71F2	102
LIV	ENSG00000159733	ZFYVE28	102
LIV	ENSG00000171163	ZNF692	102
LIV	ENSG00000132323	ILKAP	102
LIV	ENSG00000160801	PTH1R	102
LIV	ENSG00000063761	ADCK1	102
LIV	ENSG00000228302	RP11-186N15.3	102
LIV	ENSG00000271959	CTD-3064M3.7	102
LIV	ENSG00000040531	CTNS	102
LIV	ENSG00000117385	P3H1	102
LIV	ENSG00000141994	DUS3L	102
LIV	ENSG00000164855	TMEM184A	102
LIV	ENSG00000253200	RP11-582J16.5	102
LIV	ENSG00000127191	TRAF2	102
LIV	ENSG00000244119	PDCL3P4	102
LIV	ENSG00000182841	RRP7BP	102
LIV	ENSG00000280407	RP13-516M14.8	102
