tissue	ensembl	gene_symbol	clust
LIV	ENSG00000095380	NANS	92
LIV	ENSG00000128228	SDF2L1	92
LIV	ENSG00000134910	STT3A	92
LIV	ENSG00000148248	SURF4	92
LIV	ENSG00000181789	COPG1	92
LIV	ENSG00000108829	LRRC59	92
LIV	ENSG00000133313	CNDP2	92
LIV	ENSG00000163479	SSR2	92
LIV	ENSG00000173540	GMPPB	92
LIV	ENSG00000197496	SLC2A10	92
LIV	ENSG00000134285	FKBP11	92
LIV	ENSG00000031698	SARS	92
LIV	ENSG00000144591	GMPPA	92
LIV	ENSG00000182934	SRPR	92
LIV	ENSG00000166794	PPIB	92
LIV	ENSG00000166562	SEC11C	92
LIV	ENSG00000121073	SLC35B1	92
LIV	ENSG00000184840	TMED9	92
LIV	ENSG00000145050	MANF	92
LIV	ENSG00000070010	UFD1L	92
LIV	ENSG00000123353	ORMDL2	92
LIV	ENSG00000110917	MLEC	92
LIV	ENSG00000112473	SLC39A7	92
LIV	ENSG00000198937	CCDC167	92
LIV	ENSG00000100220	RTCB	92
LIV	ENSG00000074842	MYDGF	92
LIV	ENSG00000167004	PDIA3	92
LIV	ENSG00000185624	P4HB	92
LIV	ENSG00000184178	SCFD2	92
LIV	ENSG00000058262	SEC61A1	92
LIV	ENSG00000149428	HYOU1	92
LIV	ENSG00000153066	TXNDC11	92
LIV	ENSG00000166002	SMCO4	92
LIV	ENSG00000074800	ENO1	92
LIV	ENSG00000197157	SND1	92
LIV	ENSG00000155660	PDIA4	92
LIV	ENSG00000169223	LMAN2	92
LIV	ENSG00000144867	SRPRB	92
LIV	ENSG00000136731	UGGT1	92
LIV	ENSG00000100418	DESI1	92
LIV	ENSG00000106638	TBL2	92
LIV	ENSG00000157020	SEC13	92
LIV	ENSG00000142230	SAE1	92
LIV	ENSG00000163902	RPN1	92
LIV	ENSG00000102100	SLC35A2	92
LIV	ENSG00000244038	DDOST	92
LIV	ENSG00000117899	MESDC2	92
LIV	ENSG00000013275	PSMC4	92
LIV	ENSG00000119777	TMEM214	92
LIV	ENSG00000101294	HM13	92
LIV	ENSG00000147535	PLPP5	92
LIV	ENSG00000110048	OSBP	92
LIV	ENSG00000172269	DPAGT1	92
LIV	ENSG00000088986	DYNLL1	92
LIV	ENSG00000143870	PDIA6	92
LIV	ENSG00000184164	CRELD2	92
LIV	ENSG00000116194	ANGPTL1	92
LIV	ENSG00000175224	ATG13	92
LIV	ENSG00000214160	ALG3	92
LIV	ENSG00000090861	AARS	92
LIV	ENSG00000197043	ANXA6	92
LIV	ENSG00000143641	GALNT2	92
LIV	ENSG00000167778	SPRYD3	92
LIV	ENSG00000123131	PRDX4	92
LIV	ENSG00000179222	MAGED1	92
LIV	ENSG00000044574	HSPA5	92
LIV	ENSG00000179218	CALR	92
LIV	ENSG00000239672	NME1	92
LIV	ENSG00000125459	MSTO1	92
LIV	ENSG00000090520	DNAJB11	92
LIV	ENSG00000118705	RPN2	92
LIV	ENSG00000174567	GOLT1A	92
