tissue	ensembl	gene_symbol	clust
LIV	ENSG00000065978	YBX1	100
LIV	ENSG00000210196	MT-TP	100
LIV	ENSG00000198727	MT-CYB	100
LIV	ENSG00000217648	RP1-95L4.4	100
LIV	ENSG00000228253	MT-ATP8	100
LIV	ENSG00000198763	MT-ND2	100
LIV	ENSG00000198786	MT-ND5	100
LIV	ENSG00000198886	MT-ND4	100
LIV	ENSG00000198840	MT-ND3	100
LIV	ENSG00000197111	PCBP2	100
LIV	ENSG00000198899	MT-ATP6	100
LIV	ENSG00000198888	MT-ND1	100
LIV	ENSG00000198695	MT-ND6	100
LIV	ENSG00000111361	EIF2B1	100
LIV	ENSG00000212907	MT-ND4L	100
LIV	ENSG00000118816	CCNI	100
LIV	ENSG00000258818	RNASE4	100
LIV	ENSG00000255062	RP11-712L6.5	100
SF	ENSG00000226482	ADIPOQ-AS1	100
SF	ENSG00000270959	LPP-AS2	100
VAF	ENSG00000230587	AC093609.1	100
VAF	ENSG00000247595	SPTY2D1-AS1	100
VAF	ENSG00000257802	RP11-2H8.4	100
VAF	ENSG00000226803	RP11-203B9.4	100
VAF	ENSG00000258818	RNASE4	100
VAF	ENSG00000223877	RPS8P10	100
VAF	ENSG00000234857	HNRNPUL2-BSCL2	100
VAF	ENSG00000148482	SLC39A12	100
VAF	ENSG00000237987	RP11-503C24.2	100
VAF	ENSG00000202337	RNU6-8	100
