ensembl	tissue	gene	P	FDR
ENSG00000116748	SKLM	AMPD1	2.03E-304	3.53E-304
ENSG00000005981	SKLM	ASB4	2.03E-304	3.53E-304
ENSG00000164309	SKLM	CMYA5	2.03E-304	3.53E-304
ENSG00000205683	SKLM	DPF3	2.03E-304	3.53E-304
ENSG00000178397	SKLM	FAM220A	2.03E-304	3.53E-304
ENSG00000186628	SKLM	FSD2	2.03E-304	3.53E-304
ENSG00000144644	SKLM	GADL1	2.03E-304	3.53E-304
ENSG00000176407	SKLM	KCMF1	2.03E-304	3.53E-304
ENSG00000124743	SKLM	KLHL31	2.03E-304	3.53E-304
ENSG00000170681	SKLM	MURC	2.03E-304	3.53E-304
ENSG00000164093	SKLM	PITX2	2.03E-304	3.53E-304
ENSG00000065675	SKLM	PRKCQ	2.03E-304	3.53E-304
ENSG00000025039	SKLM	RRAGD	2.03E-304	3.53E-304
ENSG00000115616	SKLM	SLC9A2	2.03E-304	3.53E-304
ENSG00000155657	SKLM	TTN	2.03E-304	3.53E-304
ENSG00000132388	SKLM	UBE2G1	2.03E-304	3.53E-304
ENSG00000179456	SKLM	ZBTB18	2.03E-304	3.53E-304
ENSG00000004468	SKLM	CD38	4.47E-299	7.72E-299
ENSG00000186051	SKLM	TAL2	6.42E-295	1.10E-294
ENSG00000092607	SKLM	TBX15	1.05E-289	1.80E-289
ENSG00000073282	SKLM	TP63	4.85E-254	8.01E-254
ENSG00000175928	SKLM	LRRN1	7.04E-44	8.80E-44
ENSG00000160299	SKLM	PCNT	7.24E-28	8.56E-28
ENSG00000170500	SKLM	LONRF2	2.85E-15	3.19E-15
ENSG00000127325	SKLM	BEST3	0.00000102	1.0797E-06
ENSG00000198771	SKLM	RCSD1	0.010748	0.010922
