ensembl	tissue	gene	P	FDR
ENSG00000127463	SF	EMC1	2.03E-304	3.53E-304
ENSG00000172273	SF	HINFP	2.03E-304	3.53E-304
ENSG00000139197	SF	PEX5	2.03E-304	3.53E-304
ENSG00000111725	SF	PRKAB1	2.03E-304	3.53E-304
ENSG00000163933	SF	RFT1	2.03E-304	3.53E-304
ENSG00000010803	SF	SCMH1	2.03E-304	3.53E-304
ENSG00000100296	SF	THOC5	2.03E-304	3.53E-304
ENSG00000158604	SF	TMED4	2.03E-304	3.53E-304
ENSG00000006194	SF	ZNF263	2.03E-304	3.53E-304
ENSG00000126746	SF	ZNF384	2.03E-304	3.53E-304
ENSG00000162714	SF	ZNF496	2.03E-304	3.53E-304
ENSG00000156853	SF	ZNF689	2.03E-304	3.53E-304
ENSG00000169951	SF	ZNF764	2.03E-304	3.53E-304
ENSG00000182318	SF	ZSCAN22	2.03E-304	3.53E-304
ENSG00000100104	SF	SRRD	2.06E-198	3.26E-198
ENSG00000135926	SF	TMBIM1	3.59E-195	5.64E-195
ENSG00000083817	SF	ZNF416	3.01E-145	4.52E-145
ENSG00000151348	SF	EXT2	2.03E-136	3.02E-136
ENSG00000100335	SF	MIEF1	1.83E-123	2.67E-123
ENSG00000170581	SF	STAT2	3.56E-100	5.03E-100
ENSG00000156398	SF	SFXN2	1.05E-95	1.47E-95
ENSG00000166224	SF	SGPL1	1.30E-91	1.81E-91
ENSG00000117481	SF	NSUN4	5.03E-85	6.93E-85
ENSG00000215271	SF	HOMEZ	1.19E-83	1.64E-83
ENSG00000176371	SF	ZSCAN2	5.73E-78	7.80E-78
ENSG00000171574	SF	ZNF584	8.18E-51	1.04E-50
ENSG00000176871	SF	WSB2	2.32E-34	2.81E-34
ENSG00000160685	AOR	ZBTB7B	3.12E-34	3.77E-34
ENSG00000170275	SF	CRTAP	8.59E-34	1.04E-33
ENSG00000166135	SF	HIF1AN	4.30E-32	5.16E-32
ENSG00000105373	AOR	GLTSCR2	2.05E-16	2.30E-16
ENSG00000160049	SF	DFFA	8.93E-15	9.95E-15
ENSG00000175575	SF	PAAF1	7.44E-13	8.22E-13
ENSG00000129158	SF	SERGEF	2.03E-08	2.18E-08
ENSG00000103356	SF	EARS2	5.92E-08	6.32E-08
ENSG00000025772	SF	TOMM34	0.000023386	0.000024459
ENSG00000090487	SF	SPG21	0.014207	0.01441
