ensembl	tissue	gene	P	FDR
ENSG00000042980	LIV	ADAM28	2.03E-304	3.53E-304
ENSG00000071991	LIV	CDH19	2.03E-304	3.53E-304
ENSG00000134874	LIV	DZIP1	2.03E-304	3.53E-304
ENSG00000151617	LIV	EDNRA	2.03E-304	3.53E-304
ENSG00000111145	LIV	ELK3	2.03E-304	3.53E-304
ENSG00000144369	LIV	FAM171B	2.03E-304	3.53E-304
ENSG00000151702	LIV	FLI1	2.03E-304	3.53E-304
ENSG00000061918	LIV	GUCY1B3	2.03E-304	3.53E-304
ENSG00000144366	LIV	GULP1	2.03E-304	3.53E-304
ENSG00000085276	LIV	MECOM	2.03E-304	3.53E-304
ENSG00000151690	LIV	MFSD6	2.03E-304	3.53E-304
ENSG00000156103	LIV	MMP16	2.03E-304	3.53E-304
ENSG00000077616	LIV	NAALAD2	2.03E-304	3.53E-304
ENSG00000083720	LIV	OXCT1	2.03E-304	3.53E-304
ENSG00000138738	LIV	PRDM5	2.03E-304	3.53E-304
ENSG00000153179	LIV	RASSF3	2.03E-304	3.53E-304
ENSG00000104415	LIV	WISP1	2.03E-304	3.53E-304
ENSG00000169554	LIV	ZEB2	2.03E-304	3.53E-304
ENSG00000196867	LIV	ZFP28	2.03E-304	3.53E-304
ENSG00000169946	LIV	ZFPM2	2.03E-304	3.53E-304
ENSG00000105708	LIV	ZNF14	2.03E-304	3.53E-304
ENSG00000171291	LIV	ZNF439	2.03E-304	3.53E-304
ENSG00000256229	LIV	ZNF486	2.03E-304	3.53E-304
ENSG00000166532	LIV	RIMKLB	2.17E-172	3.35E-172
ENSG00000018236	LIV	CNTN1	0.00889	0.0090411
