ensembl	tissue	gene	P	FDR
ENSG00000111639	MAM	MRPL51	2.03E-304	3.53E-304
ENSG00000168653	MAM	NDUFS5	2.03E-304	3.53E-304
ENSG00000166794	MAM	PPIB	2.03E-304	3.53E-304
ENSG00000177600	MAM	RPLP2	2.03E-304	3.53E-304
ENSG00000173660	MAM	UQCRH	2.03E-304	3.53E-304
ENSG00000140319	MAM	SRP14	4.13E-296	7.11E-296
ENSG00000221983	MAM	UBA52	2.06E-249	3.40E-249
ENSG00000243678	MAM	NME2	2.58E-241	4.20E-241
ENSG00000171311	MAM	EXOSC1	1.81E-198	2.86E-198
ENSG00000131116	MAM	ZNF428	8.41E-42	1.04E-41
ENSG00000174197	AOR	MGA	3.74E-34	4.52E-34
ENSG00000175550	MAM	DRAP1	1.42E-33	1.71E-33
ENSG00000100207	MAM	TCF20	4.97E-10	5.40E-10
ENSG00000118096	MAM	IFT46	8.59E-07	9.11E-07
ENSG00000225830	AOR	ERCC6	0.033	0.033375
ENSG00000170310	MAM	STX8	0.43164	0.43232
