ensembl	tissue	gene	P	FDR
ENSG00000143437	VAF	ARNT	2.03E-304	3.53E-304
ENSG00000076108	VAF	BAZ2A	2.03E-304	3.53E-304
ENSG00000101191	VAF	DIDO1	2.03E-304	3.53E-304
ENSG00000054965	VAF	FAM168A	2.03E-304	3.53E-304
ENSG00000065970	VAF	FOXJ2	2.03E-304	3.53E-304
ENSG00000136504	VAF	KAT7	2.03E-304	3.53E-304
ENSG00000173120	VAF	KDM2A	2.03E-304	3.53E-304
ENSG00000169057	VAF	MECP2	2.03E-304	3.53E-304
ENSG00000152127	VAF	MGAT5	2.03E-304	3.53E-304
ENSG00000126003	VAF	PLAGL2	2.03E-304	3.53E-304
ENSG00000068654	VAF	POLR1A	2.03E-304	3.53E-304
ENSG00000168411	VAF	RFWD3	2.03E-304	3.53E-304
ENSG00000143379	VAF	SETDB1	2.03E-304	3.53E-304
ENSG00000080603	VAF	SRCAP	2.03E-304	3.53E-304
ENSG00000132604	VAF	TERF2	2.03E-304	3.53E-304
ENSG00000100426	VAF	ZBED4	2.03E-304	3.53E-304
ENSG00000166860	VAF	ZBTB39	2.03E-304	3.53E-304
ENSG00000184677	VAF	ZBTB40	2.03E-304	3.53E-304
ENSG00000168795	VAF	ZBTB5	2.03E-304	3.53E-304
ENSG00000130803	VAF	ZNF317	2.03E-304	3.53E-304
ENSG00000180357	VAF	ZNF609	2.03E-304	3.53E-304
ENSG00000167528	VAF	ZNF641	2.03E-304	3.53E-304
ENSG00000166716	VAF	ZNF592	1.01E-299	1.75E-299
ENSG00000143614	VAF	GATAD2B	1.76E-297	3.03E-297
ENSG00000197037	VAF	ZSCAN25	6.54E-238	1.06E-237
ENSG00000123643	VAF	SLC36A1	9.26E-208	1.47E-207
ENSG00000126746	VAF	ZNF384	1.36E-65	1.81E-65
ENSG00000005156	VAF	LIG3	1.48E-64	1.96E-64
ENSG00000135392	VAF	DNAJC14	2.79E-64	3.68E-64
ENSG00000163945	VAF	UVSSA	2.80E-26	3.30E-26
ENSG00000183826	VAF	BTBD9	8.53E-13	9.42E-13
ENSG00000126001	VAF	CEP250	9.76E-10	1.06E-09
ENSG00000166847	VAF	DCTN5	4.29E-08	4.58E-08
ENSG00000141458	VAF	NPC1	0.00020791	0.00021509
ENSG00000242588	VAF	RP11-274B21.14	0.0050678	0.0051663
ENSG00000164574	VAF	GALNT10	0.021613	0.021893
ENSG00000149503	VAF	INCENP	0.052141	0.052678
