ensembl	tissue	gene	P	FDR
ENSG00000127220	LIV	ABHD8	2.03E-304	3.53E-304
ENSG00000132024	LIV	CC2D1A	2.03E-304	3.53E-304
ENSG00000125817	LIV	CENPB	2.03E-304	3.53E-304
ENSG00000095321	LIV	CRAT	2.03E-304	3.53E-304
ENSG00000185122	LIV	HSF1	2.03E-304	3.53E-304
ENSG00000161999	LIV	JMJD8	2.03E-304	3.53E-304
ENSG00000196365	LIV	LONP1	2.03E-304	3.53E-304
ENSG00000130881	LIV	LRP3	2.03E-304	3.53E-304
ENSG00000071655	LIV	MBD3	2.03E-304	3.53E-304
ENSG00000125912	LIV	NCLN	2.03E-304	3.53E-304
ENSG00000060491	LIV	OGFR	2.03E-304	3.53E-304
ENSG00000214022	LIV	REPIN1	2.03E-304	3.53E-304
ENSG00000132005	LIV	RFX1	2.03E-304	3.53E-304
ENSG00000157637	LIV	SLC38A10	2.03E-304	3.53E-304
ENSG00000142409	LIV	ZNF787	2.03E-304	3.53E-304
ENSG00000103148	LIV	NPRL3	7.96E-301	1.38E-300
ENSG00000170265	LIV	ZNF282	3.86E-293	6.64E-293
ENSG00000197483	LIV	ZNF628	1.72E-215	2.75E-215
ENSG00000197150	LIV	ABCB8	7.65E-202	1.21E-201
ENSG00000117984	LIV	CTSD	5.99E-176	9.27E-176
ENSG00000100280	LIV	AP1B1	2.08E-159	3.15E-159
ENSG00000008838	LIV	MED24	1.35E-136	2.00E-136
ENSG00000167632	LIV	TRAPPC9	5.55E-95	7.76E-95
ENSG00000186350	LIV	RXRA	7.55E-81	1.04E-80
ENSG00000257923	LIV	CUX1	1.12E-73	1.51E-73
ENSG00000171604	LIV	CXXC5	2.99E-20	3.43E-20
ENSG00000122390	LIV	NAA60	3.25E-11	3.57E-11
ENSG00000106327	LIV	TFR2	7.45E-09	8.03E-09
ENSG00000106263	LIV	EIF3B	0.000097059	0.00010085
ENSG00000104774	LIV	MAN2B1	0.55533	0.55606
