ensembl	tissue	gene	P	FDR
ENSG00000157823	SF	AP3S2	2.03E-304	3.53E-304
ENSG00000123191	SF	ATP7B	2.03E-304	3.53E-304
ENSG00000198752	SF	CDC42BPB	2.03E-304	3.53E-304
ENSG00000237765	SF	FAM200B	2.03E-304	3.53E-304
ENSG00000065970	SF	FOXJ2	2.03E-304	3.53E-304
ENSG00000204084	SF	INPP5B	2.03E-304	3.53E-304
ENSG00000173120	SF	KDM2A	2.03E-304	3.53E-304
ENSG00000011376	SF	LARS2	2.03E-304	3.53E-304
ENSG00000005156	SF	LIG3	2.03E-304	3.53E-304
ENSG00000141458	SF	NPC1	2.03E-304	3.53E-304
ENSG00000168495	SF	POLR3D	2.03E-304	3.53E-304
ENSG00000242588	SF	RP11-274B21.14	2.03E-304	3.53E-304
ENSG00000120451	SF	SNX19	2.03E-304	3.53E-304
ENSG00000168610	SF	STAT3	2.03E-304	3.53E-304
ENSG00000173757	SF	STAT5B	2.03E-304	3.53E-304
ENSG00000137073	SF	UBAP2	2.03E-304	3.53E-304
ENSG00000130803	SF	ZNF317	2.03E-304	3.53E-304
ENSG00000170100	SF	ZNF778	2.03E-304	3.53E-304
ENSG00000068654	SF	POLR1A	1.99E-301	3.46E-301
ENSG00000166436	SF	TRIM66	1.02E-271	1.71E-271
ENSG00000063587	SF	ZNF275	7.14E-234	1.16E-233
ENSG00000187792	SF	ZNF70	8.12E-192	1.27E-191
ENSG00000180357	SF	ZNF609	6.16E-117	8.88E-117
ENSG00000184677	SF	ZBTB40	9.04E-70	1.21E-69
ENSG00000169057	SF	MECP2	2.79E-69	3.72E-69
ENSG00000126003	SF	PLAGL2	1.79E-61	2.34E-61
ENSG00000136504	SF	KAT7	1.56E-58	2.03E-58
ENSG00000166860	SF	ZBTB39	6.46E-57	8.36E-57
ENSG00000168795	SF	ZBTB5	2.47E-55	3.19E-55
ENSG00000142599	SF	RERE	8.91E-53	1.14E-52
ENSG00000076108	SF	BAZ2A	5.16E-52	6.60E-52
ENSG00000118900	SF	UBN1	1.47E-51	1.88E-51
ENSG00000143437	SF	ARNT	2.40E-50	3.06E-50
ENSG00000134369	SF	NAV1	5.86E-36	7.12E-36
ENSG00000101236	SF	RNF24	9.27E-24	1.08E-23
ENSG00000170653	SF	ATF7	3.03E-22	3.52E-22
ENSG00000166949	SF	SMAD3	1.19E-10	1.30E-10
ENSG00000253873	SF	PCDHGA11	4.16E-09	4.49E-09
ENSG00000260404	SF	RP11-384K6.6	0.00085303	0.00087872
ENSG00000174306	SF	ZHX3	0.0015888	0.0016331
