ensembl	tissue	gene	P	FDR
ENSG00000256053	SF	APOPT1	2.03E-304	3.53E-304
ENSG00000204954	SF	C12orf73	2.03E-304	3.53E-304
ENSG00000164615	SF	CAMLG	2.03E-304	3.53E-304
ENSG00000120860	SF	CCDC53	2.03E-304	3.53E-304
ENSG00000106554	SF	CHCHD3	2.03E-304	3.53E-304
ENSG00000137692	SF	DCUN1D5	2.03E-304	3.53E-304
ENSG00000172775	SF	FAM192A	2.03E-304	3.53E-304
ENSG00000132463	SF	GRSF1	2.03E-304	3.53E-304
ENSG00000122034	SF	GTF3A	2.03E-304	3.53E-304
ENSG00000132305	SF	IMMT	2.03E-304	3.53E-304
ENSG00000163875	SF	MEAF6	2.03E-304	3.53E-304
ENSG00000168958	SF	MFF	2.03E-304	3.53E-304
ENSG00000137513	SF	NARS2	2.03E-304	3.53E-304
ENSG00000137806	SF	NDUFAF1	2.03E-304	3.53E-304
ENSG00000132646	SF	PCNA	2.03E-304	3.53E-304
ENSG00000112357	SF	PEX7	2.03E-304	3.53E-304
ENSG00000113068	SF	PFDN1	2.03E-304	3.53E-304
ENSG00000107020	SF	PLGRKT	2.03E-304	3.53E-304
ENSG00000165672	SF	PRDX3	2.03E-304	3.53E-304
ENSG00000180228	SF	PRKRA	2.03E-304	3.53E-304
ENSG00000166562	SF	SEC11C	2.03E-304	3.53E-304
ENSG00000176209	SF	SMIM19	2.03E-304	3.53E-304
ENSG00000177868	SF	SVBP	2.03E-304	3.53E-304
ENSG00000162604	SF	TM2D1	2.03E-304	3.53E-304
ENSG00000132406	SF	TMEM128	2.03E-304	3.53E-304
ENSG00000108953	SF	YWHAE	2.03E-304	3.53E-304
ENSG00000182004	SF	SNRPE	1.56E-149	2.34E-149
ENSG00000138175	SF	ARL3	2.87E-114	4.12E-114
ENSG00000165502	SF	RPL36AL	8.38E-109	1.20E-108
ENSG00000185808	SF	PIGP	3.82E-10	4.16E-10
