ensembl	tissue	gene	P	FDR
ENSG00000111452	MAM	ADGRD1	2.03E-304	3.53E-304
ENSG00000187151	MAM	ANGPTL5	2.03E-304	3.53E-304
ENSG00000060982	MAM	BCAT1	2.03E-304	3.53E-304
ENSG00000000971	MAM	CFH	2.03E-304	3.53E-304
ENSG00000095713	MAM	CRTAC1	2.03E-304	3.53E-304
ENSG00000161544	MAM	CYGB	2.03E-304	3.53E-304
ENSG00000221818	MAM	EBF2	2.03E-304	3.53E-304
ENSG00000108001	MAM	EBF3	2.03E-304	3.53E-304
ENSG00000185070	MAM	FLRT2	2.03E-304	3.53E-304
ENSG00000111087	MAM	GLI1	2.03E-304	3.53E-304
ENSG00000177374	MAM	HIC1	2.03E-304	3.53E-304
ENSG00000162687	MAM	KCNT2	2.03E-304	3.53E-304
ENSG00000178573	MAM	MAF	2.03E-304	3.53E-304
ENSG00000106511	MAM	MEOX2	2.03E-304	3.53E-304
ENSG00000182050	MAM	MGAT4C	2.03E-304	3.53E-304
ENSG00000163132	MAM	MSX1	2.03E-304	3.53E-304
ENSG00000087303	MAM	NID2	2.03E-304	3.53E-304
ENSG00000143850	MAM	PLEKHA6	2.03E-304	3.53E-304
ENSG00000116132	MAM	PRRX1	2.03E-304	3.53E-304
ENSG00000154134	MAM	ROBO3	2.03E-304	3.53E-304
ENSG00000132386	MAM	SERPINF1	2.03E-304	3.53E-304
ENSG00000126778	MAM	SIX1	2.03E-304	3.53E-304
ENSG00000179954	MAM	SSC5D	2.03E-304	3.53E-304
ENSG00000176438	MAM	SYNE3	2.03E-304	3.53E-304
ENSG00000182463	MAM	TSHZ2	2.03E-304	3.53E-304
ENSG00000198795	MAM	ZNF521	2.03E-304	3.53E-304
ENSG00000162761	MAM	LMX1A	7.43E-22	8.61E-22
ENSG00000034971	MAM	MYOC	2.57E-10	2.80E-10
ENSG00000188488	MAM	SERPINA5	0.25178	0.2527
