ensembl	tissue	gene	P	FDR
ENSG00000102575	VAF	ACP5	2.03E-304	3.53E-304
ENSG00000156127	VAF	BATF	2.03E-304	3.53E-304
ENSG00000123685	VAF	BATF3	2.03E-304	3.53E-304
ENSG00000167850	VAF	CD300C	2.03E-304	3.53E-304
ENSG00000105383	VAF	CD33	2.03E-304	3.53E-304
ENSG00000093072	VAF	CECR1	2.03E-304	3.53E-304
ENSG00000132514	VAF	CLEC10A	2.03E-304	3.53E-304
ENSG00000104808	VAF	DHDH	2.03E-304	3.53E-304
ENSG00000072694	VAF	FCGR2B	2.03E-304	3.53E-304
ENSG00000196743	VAF	GM2A	2.03E-304	3.53E-304
ENSG00000196126	VAF	HLA-DRB1	2.03E-304	3.53E-304
ENSG00000126456	VAF	IRF3	2.03E-304	3.53E-304
ENSG00000128604	VAF	IRF5	2.03E-304	3.53E-304
ENSG00000104903	VAF	LYL1	2.03E-304	3.53E-304
ENSG00000019169	VAF	MARCO	2.03E-304	3.53E-304
ENSG00000085514	VAF	PILRA	2.03E-304	3.53E-304
ENSG00000169220	VAF	RGS14	2.03E-304	3.53E-304
ENSG00000066336	VAF	SPI1	2.03E-304	3.53E-304
ENSG00000157303	VAF	SUSD3	2.03E-304	3.53E-304
ENSG00000071564	VAF	TCF3	2.03E-304	3.53E-304
ENSG00000092929	VAF	UNC13D	2.03E-304	3.53E-304
ENSG00000170684	VAF	ZNF296	2.03E-304	3.53E-304
ENSG00000167642	VAF	SPINT2	7.77E-238	1.26E-237
ENSG00000164733	VAF	CTSB	1.61E-164	2.47E-164
ENSG00000012779	VAF	ALOX5	8.28E-161	1.26E-160
ENSG00000158717	VAF	RNF166	1.67E-154	2.52E-154
ENSG00000103653	VAF	CSK	5.26E-117	7.58E-117
ENSG00000127084	VAF	FGD3	2.36E-79	3.23E-79
ENSG00000125089	VAF	SH3TC1	1.02E-73	1.37E-73
ENSG00000158457	VAF	TSPAN33	8.54E-36	1.04E-35
ENSG00000161640	VAF	SIGLEC11	0.013553	0.013761
