ensembl	tissue	gene	P	FDR
ENSG00000198768	SF	APCDD1L	2.03E-304	3.53E-304
ENSG00000074410	SF	CA12	2.03E-304	3.53E-304
ENSG00000174059	SF	CD34	2.03E-304	3.53E-304
ENSG00000103196	SF	CRISPLD2	2.03E-304	3.53E-304
ENSG00000160097	SF	FNDC5	2.03E-304	3.53E-304
ENSG00000074047	SF	GLI2	2.03E-304	3.53E-304
ENSG00000164107	SF	HAND2	2.03E-304	3.53E-304
ENSG00000224609	SF	HSD52	2.03E-304	3.53E-304
ENSG00000137265	SF	IRF4	2.03E-304	3.53E-304
ENSG00000162761	SF	LMX1A	2.03E-304	3.53E-304
ENSG00000134569	SF	LRP4	2.03E-304	3.53E-304
ENSG00000066248	SF	NGEF	2.03E-304	3.53E-304
ENSG00000149380	SF	P4HA3	2.03E-304	3.53E-304
ENSG00000135749	SF	PCNXL2	2.03E-304	3.53E-304
ENSG00000152784	SF	PRDM8	2.03E-304	3.53E-304
ENSG00000150687	SF	PRSS23	2.03E-304	3.53E-304
ENSG00000147485	SF	PXDNL	2.03E-304	3.53E-304
ENSG00000137699	SF	TRIM29	2.03E-304	3.53E-304
ENSG00000111424	SF	VDR	2.03E-304	3.53E-304
ENSG00000205221	SF	VIT	2.03E-304	3.53E-304
ENSG00000172061	SF	LRRC15	2.92E-290	5.01E-290
ENSG00000197965	SF	MPZL1	5.17E-271	8.69E-271
ENSG00000019169	SF	MARCO	1.31E-256	2.17E-256
ENSG00000109705	SF	NKX3-2	3.96E-192	6.20E-192
ENSG00000136944	SF	LMX1B	2.17E-182	3.37E-182
ENSG00000169071	SF	ROR2	6.95E-39	8.56E-39
ENSG00000135750	SF	KCNK1	1.13E-09	1.22E-09
ENSG00000183844	SF	FAM3B	0.00067797	0.00069858
