ensembl	tissue	gene	P	FDR
ENSG00000100554	LIV	ATP6V1D	2.03E-304	3.53E-304
ENSG00000130638	LIV	ATXN10	2.03E-304	3.53E-304
ENSG00000198721	LIV	ECI2	2.03E-304	3.53E-304
ENSG00000070785	LIV	EIF2B3	2.03E-304	3.53E-304
ENSG00000120265	LIV	PCMT1	2.03E-304	3.53E-304
ENSG00000117450	LIV	PRDX1	2.03E-304	3.53E-304
ENSG00000176209	LIV	SMIM19	2.03E-304	3.53E-304
ENSG00000114902	LIV	SPCS1	2.03E-304	3.53E-304
ENSG00000188612	LIV	SUMO2	2.03E-304	3.53E-304
ENSG00000143183	LIV	TMCO1	2.03E-304	3.53E-304
ENSG00000111237	LIV	VPS29	2.03E-304	3.53E-304
ENSG00000166347	LIV	CYB5A	7.16E-297	1.23E-296
ENSG00000137720	LIV	C11orf1	1.35E-284	2.31E-284
ENSG00000272047	LIV	GTF2H5	8.61E-258	1.43E-257
ENSG00000155368	LIV	DBI	8.94E-187	1.39E-186
ENSG00000108953	LIV	YWHAE	2.73E-89	3.79E-89
ENSG00000165637	LIV	VDAC2	7.33E-64	9.66E-64
ENSG00000119718	LIV	EIF2B2	3.78E-38	4.64E-38
ENSG00000137806	LIV	NDUFAF1	7.09E-30	8.44E-30
ENSG00000138175	LIV	ARL3	2.06E-16	2.31E-16
ENSG00000170515	LIV	PA2G4	1.12E-15	1.26E-15
ENSG00000132432	LIV	SEC61G	3.08E-10	3.35E-10
ENSG00000243317	LIV	C7orf73	6.43E-10	6.99E-10
ENSG00000148229	LIV	POLE3	0.001134	0.0011663
ENSG00000159063	LIV	ALG8	0.013721	0.013928
