ensembl	tissue	gene	P	FDR
ENSG00000204267	LIV	TAP2	8.12E-292	1.40E-291
ENSG00000089127	SF	OAS1	6.81E-283	1.16E-282
ENSG00000138079	LIV	SLC3A1	8.53E-281	1.45E-280
ENSG00000123643	LIV	SLC36A1	3.19E-280	5.40E-280
ENSG00000204267	VAF	TAP2	7.64E-275	1.29E-274
ENSG00000157601	LIV	MX1	8.80E-251	1.45E-250
ENSG00000183486	SF	MX2	1.91E-154	2.87E-154
ENSG00000204267	SF	TAP2	1.16E-97	1.63E-97
ENSG00000133216	LIV	EPHB2	3.76E-97	5.28E-97
ENSG00000185880	VAF	TRIM69	7.88E-97	1.11E-96
ENSG00000272777	LIV	RP11-571L19.8	1.08E-81	1.48E-81
ENSG00000115415	VAF	STAT1	1.38E-65	1.83E-65
ENSG00000115415	LIV	STAT1	3.20E-43	3.99E-43
ENSG00000138496	LIV	PARP9	7.68E-40	9.47E-40
