ensembl	tissue	gene	P	FDR
ENSG00000167283	LIV	ATP5L	2.03E-304	3.53E-304
ENSG00000164258	LIV	NDUFS4	2.03E-304	3.53E-304
ENSG00000142676	LIV	RPL11	2.03E-304	3.53E-304
ENSG00000197958	LIV	RPL12	2.03E-304	3.53E-304
ENSG00000142541	LIV	RPL13A	2.03E-304	3.53E-304
ENSG00000166441	LIV	RPL27A	2.03E-304	3.53E-304
ENSG00000161016	LIV	RPL8	2.03E-304	3.53E-304
ENSG00000142534	LIV	RPS11	2.03E-304	3.53E-304
ENSG00000164587	LIV	RPS14	2.03E-304	3.53E-304
ENSG00000231500	LIV	RPS18	2.03E-304	3.53E-304
ENSG00000138326	LIV	RPS24	2.03E-304	3.53E-304
ENSG00000083845	LIV	RPS5	2.03E-304	3.53E-304
ENSG00000171863	LIV	RPS7	2.03E-304	3.53E-304
ENSG00000170889	LIV	RPS9	2.03E-304	3.53E-304
ENSG00000139343	LIV	SNRPF	2.03E-304	3.53E-304
ENSG00000196683	LIV	TOMM7	2.03E-304	3.53E-304
ENSG00000111639	LIV	MRPL51	8.19E-271	1.38E-270
ENSG00000109390	LIV	NDUFC1	2.81E-248	4.61E-248
ENSG00000182117	LIV	NOP10	1.58E-235	2.57E-235
ENSG00000145247	LIV	OCIAD2	1.22E-222	1.96E-222
ENSG00000173915	LIV	USMG5	5.10E-53	6.55E-53
ENSG00000140319	LIV	SRP14	4.65E-41	5.75E-41
ENSG00000254999	LIV	BRK1	1.44E-38	1.77E-38
ENSG00000091583	LIV	APOH	2.03E-31	2.43E-31
ENSG00000198466	LIV	ZNF587	8.56E-16	9.60E-16
ENSG00000175061	LIV	LRRC75A-AS1	9.21E-08	9.82E-08
ENSG00000131100	LIV	ATP6V1E1	0.00031945	0.00032996
ENSG00000085063	LIV	CD59	0.0056685	0.0057771
ENSG00000175390	LIV	EIF3F	0.007023	0.0071519
ENSG00000111678	LIV	C12orf57	0.028074	0.028416
