ensembl	tissue	gene	P	FDR
ENSG00000106948	LIV	AKNA	2.03E-304	3.53E-304
ENSG00000012779	LIV	ALOX5	2.03E-304	3.53E-304
ENSG00000110665	LIV	C11orf21	2.03E-304	3.53E-304
ENSG00000102034	LIV	ELF4	2.03E-304	3.53E-304
ENSG00000096996	LIV	IL12RB1	2.03E-304	3.53E-304
ENSG00000160255	LIV	ITGB2	2.03E-304	3.53E-304
ENSG00000239998	LIV	LILRA2	2.03E-304	3.53E-304
ENSG00000124357	LIV	NAGK	2.03E-304	3.53E-304
ENSG00000100365	LIV	NCF4	2.03E-304	3.53E-304
ENSG00000170909	LIV	OSCAR	2.03E-304	3.53E-304
ENSG00000066336	LIV	SPI1	2.03E-304	3.53E-304
ENSG00000175567	LIV	UCP2	2.03E-304	3.53E-304
ENSG00000198133	LIV	TMEM229B	1.89E-219	3.02E-219
ENSG00000026950	LIV	BTN3A1	1.14E-178	1.77E-178
ENSG00000196126	SKLM	HLA-DRB1	1.82E-84	2.50E-84
ENSG00000115523	SKLM	GNLY	1.28E-78	1.74E-78
ENSG00000131203	SKLM	IDO1	3.63E-75	4.92E-75
ENSG00000204267	SKLM	TAP2	5.20E-67	6.91E-67
ENSG00000243811	LIV	APOBEC3D	6.55E-26	7.70E-26
ENSG00000117676	LIV	RPS6KA1	1.36E-13	1.51E-13
ENSG00000143257	SKLM	NR1I3	6.86E-10	7.44E-10
ENSG00000196189	LIV	SEMA4A	1.10E-07	1.17E-07
ENSG00000167207	LIV	NOD2	0.00097369	0.0010025
