ensembl	tissue	gene	P	FDR
ENSG00000127152	AOR	BCL11B	2.03E-304	3.53E-304
ENSG00000231389	AOR	HLA-DPA1	2.03E-304	3.53E-304
ENSG00000196735	AOR	HLA-DQA1	2.03E-304	3.53E-304
ENSG00000161405	AOR	IKZF3	2.03E-304	3.53E-304
ENSG00000138378	AOR	STAT4	2.03E-304	3.53E-304
ENSG00000009790	AOR	TRAF3IP3	2.03E-304	3.53E-304
ENSG00000124203	AOR	ZNF831	2.03E-304	3.53E-304
ENSG00000163823	AOR	CCR1	9.31E-168	1.43E-167
ENSG00000100979	AOR	PLTP	2.28E-107	3.25E-107
ENSG00000204252	AOR	HLA-DOA	3.05E-104	4.33E-104
ENSG00000178573	AOR	MAF	2.72E-96	3.80E-96
ENSG00000090382	AOR	LYZ	8.67E-78	1.18E-77
ENSG00000134955	AOR	SLC37A2	2.37E-69	3.17E-69
ENSG00000164733	AOR	CTSB	8.43E-65	1.12E-64
ENSG00000042493	AOR	CAPG	4.57E-64	6.03E-64
ENSG00000140968	AOR	IRF8	1.57E-46	1.97E-46
ENSG00000090659	AOR	CD209	2.72E-45	3.41E-45
ENSG00000185811	AOR	IKZF1	5.98E-43	7.43E-43
ENSG00000100644	AOR	HIF1A	9.31E-39	1.14E-38
ENSG00000125637	AOR	PSD4	9.91E-30	1.18E-29
ENSG00000105967	AOR	TFEC	1.27E-27	1.50E-27
ENSG00000160593	AOR	AMICA1	9.56E-25	1.12E-24
ENSG00000204577	AOR	LILRB3	2.21E-16	2.48E-16
ENSG00000171051	AOR	FPR1	7.01E-16	7.86E-16
ENSG00000169083	AOR	AR	2.69E-08	2.88E-08
ENSG00000060982	AOR	BCAT1	0.000021127	0.000022114
ENSG00000237125	AOR	HAND2-AS1	0.000023281	0.000024356
ENSG00000151090	AOR	THRB	0.00014576	0.00015121
ENSG00000112303	AOR	VNN2	0.00017289	0.00017906
ENSG00000234745	AOR	HLA-B	0.0018816	0.0019325
