ensembl	tissue	gene	P	FDR
ENSG00000170160	AOR	CCDC144A	2.03E-304	3.53E-304
ENSG00000213077	MAM	FAM106A	2.03E-304	3.53E-304
ENSG00000273018	MAM	CTD-2303H24.2	4.09E-279	6.93E-279
ENSG00000188933	MAM	USP32P1	1.02E-254	1.69E-254
ENSG00000273018	AOR	CTD-2303H24.2	1.73E-239	2.83E-239
ENSG00000273018	SKLM	CTD-2303H24.2	1.49E-218	2.38E-218
ENSG00000273018	VAF	CTD-2303H24.2	1.69E-204	2.69E-204
ENSG00000273018	BLOOD	CTD-2303H24.2	1.71E-186	2.66E-186
ENSG00000170160	MAM	CCDC144A	1.03E-178	1.59E-178
ENSG00000188933	AOR	USP32P1	9.66E-168	1.48E-167
ENSG00000213077	SKLM	FAM106A	2.79E-144	4.18E-144
ENSG00000273018	LIV	CTD-2303H24.2	1.16E-58	1.50E-58
ENSG00000170160	BLOOD	CCDC144A	5.44E-56	7.02E-56
ENSG00000213077	VAF	FAM106A	3.69E-52	4.72E-52
ENSG00000171916	LIV	LGALS9C	0.000055768	0.00005812
ENSG00000176974	MAM	SHMT1	0.0023102	0.0023696
ENSG00000176974	AOR	SHMT1	0.1054	0.10615
