ensembl	tissue	gene	P	FDR
ENSG00000163508	MAM	EOMES	2.03E-304	3.53E-304
ENSG00000103187	MAM	COTL1	1.34E-207	2.13E-207
ENSG00000137265	MAM	IRF4	1.84E-170	2.84E-170
ENSG00000079263	MAM	SP140	1.17E-144	1.76E-144
ENSG00000198805	MAM	PNP	8.21E-128	1.20E-127
ENSG00000187605	MAM	TET3	4.77E-120	6.93E-120
ENSG00000159216	MAM	RUNX1	5.08E-117	7.32E-117
ENSG00000116990	MAM	MYCL	1.29E-113	1.85E-113
ENSG00000156127	MAM	BATF	1.79E-80	2.45E-80
ENSG00000185811	MAM	IKZF1	1.97E-73	2.65E-73
ENSG00000127152	MAM	BCL11B	2.38E-65	3.16E-65
ENSG00000138378	MAM	STAT4	6.25E-62	8.19E-62
ENSG00000105967	MAM	TFEC	6.16E-48	7.80E-48
ENSG00000172322	MAM	CLEC12A	1.70E-47	2.15E-47
ENSG00000137841	MAM	PLCB2	3.56E-47	4.50E-47
ENSG00000028277	MAM	POU2F2	2.21E-44	2.77E-44
ENSG00000161405	MAM	IKZF3	4.20E-43	5.23E-43
ENSG00000146285	MAM	SCML4	1.61E-41	2.00E-41
ENSG00000090382	MAM	LYZ	5.36E-40	6.61E-40
ENSG00000124203	MAM	ZNF831	2.36E-31	2.82E-31
ENSG00000066336	MAM	SPI1	8.37E-30	9.96E-30
ENSG00000140968	MAM	IRF8	1.08E-28	1.27E-28
ENSG00000116701	MAM	NCF2	4.50E-25	5.27E-25
ENSG00000057657	MAM	PRDM1	6.84E-19	7.79E-19
ENSG00000077420	MAM	APBB1IP	6.19E-11	6.78E-11
ENSG00000239998	MAM	LILRA2	0.0040275	0.0041123
ENSG00000133048	MAM	CHI3L1	0.20342	0.20427
