ensembl	tissue	gene	P	FDR
ENSG00000150347	AOR	ARID5B	2.03E-304	3.53E-304
ENSG00000112182	AOR	BACH2	2.03E-304	3.53E-304
ENSG00000112276	AOR	BVES	2.03E-304	3.53E-304
ENSG00000153879	AOR	CEBPG	2.03E-304	3.53E-304
ENSG00000109381	AOR	ELF2	2.03E-304	3.53E-304
ENSG00000163378	AOR	EOGT	2.03E-304	3.53E-304
ENSG00000076685	AOR	NT5C2	2.03E-304	3.53E-304
ENSG00000166532	AOR	RIMKLB	2.03E-304	3.53E-304
ENSG00000140199	AOR	SLC12A6	2.03E-304	3.53E-304
ENSG00000165929	AOR	TC2N	2.03E-304	3.53E-304
ENSG00000103404	AOR	USP31	2.03E-304	3.53E-304
ENSG00000173276	AOR	ZBTB21	2.03E-304	3.53E-304
ENSG00000156261	AOR	CCT8	9.33E-292	1.60E-291
ENSG00000166333	AOR	ILK	6.18E-287	1.06E-286
ENSG00000178033	AOR	FAM26E	1.82E-253	3.01E-253
ENSG00000101608	AOR	MYL12A	2.09E-251	3.44E-251
ENSG00000145936	AOR	KCNMB1	1.34E-220	2.15E-220
ENSG00000171604	AOR	CXXC5	8.32E-217	1.33E-216
ENSG00000138032	AOR	PPM1B	1.17E-205	1.86E-205
ENSG00000187068	AOR	C3orf70	1.56E-203	2.47E-203
ENSG00000174437	AOR	ATP2A2	4.45E-198	7.02E-198
ENSG00000146592	AOR	CREB5	1.13E-181	1.75E-181
ENSG00000112658	AOR	SRF	3.29E-176	5.10E-176
ENSG00000170606	AOR	HSPA4	4.29E-167	6.59E-167
ENSG00000163110	AOR	PDLIM5	3.69E-159	5.58E-159
ENSG00000082175	AOR	PGR	3.47E-139	5.18E-139
ENSG00000087448	AOR	KLHL42	6.20E-135	9.19E-135
ENSG00000073711	AOR	PPP2R3A	7.14E-126	1.04E-125
ENSG00000065882	AOR	TBC1D1	5.99E-120	8.69E-120
ENSG00000049192	AOR	ADAMTS6	1.83E-81	2.52E-81
ENSG00000138823	AOR	MTTP	2.05E-53	2.63E-53
ENSG00000143341	AOR	HMCN1	3.10E-42	3.85E-42
ENSG00000053254	AOR	FOXN3	3.31E-38	4.06E-38
ENSG00000170500	AOR	LONRF2	9.07E-38	1.11E-37
ENSG00000095637	AOR	SORBS1	1.41E-35	1.71E-35
ENSG00000150054	AOR	MPP7	2.43E-27	2.87E-27
ENSG00000102452	AOR	NALCN	2.55E-26	3.00E-26
ENSG00000153904	AOR	DDAH1	4.70E-08	5.02E-08
ENSG00000168916	AOR	ZNF608	6.05E-07	6.43E-07
ENSG00000182674	AOR	KCNB2	0.0001027	0.00010669
ENSG00000148143	AOR	ZNF462	0.00018864	0.00019527
ENSG00000143248	AOR	RGS5	0.25535	0.25622
ENSG00000115183	AOR	TANC1	0.69117	0.69171
