ensembl	tissue	gene	P	FDR
ENSG00000111058	MAM	ACSS3	2.03E-304	3.53E-304
ENSG00000171067	MAM	C11orf24	2.03E-304	3.53E-304
ENSG00000174370	MAM	C11orf45	2.03E-304	3.53E-304
ENSG00000111731	MAM	C2CD5	2.03E-304	3.53E-304
ENSG00000108861	MAM	DUSP3	2.03E-304	3.53E-304
ENSG00000122034	MAM	GTF3A	2.03E-304	3.53E-304
ENSG00000259207	MAM	ITGB3	2.03E-304	3.53E-304
ENSG00000134333	MAM	LDHA	2.03E-304	3.53E-304
ENSG00000261801	MAM	LOXL1-AS1	2.03E-304	3.53E-304
ENSG00000198517	MAM	MAFK	2.03E-304	3.53E-304
ENSG00000120798	MAM	NR2C1	2.03E-304	3.53E-304
ENSG00000151623	MAM	NR3C2	2.03E-304	3.53E-304
ENSG00000168461	MAM	RAB31	2.03E-304	3.53E-304
ENSG00000165449	MAM	SLC16A9	2.03E-304	3.53E-304
ENSG00000112658	MAM	SRF	2.03E-304	3.53E-304
ENSG00000168610	MAM	STAT3	2.03E-304	3.53E-304
ENSG00000197905	MAM	TEAD4	2.03E-304	3.53E-304
ENSG00000114126	MAM	TFDP2	2.03E-304	3.53E-304
ENSG00000100219	MAM	XBP1	2.03E-304	3.53E-304
ENSG00000161551	MAM	ZNF577	2.03E-304	3.53E-304
ENSG00000139998	MAM	RAB15	2.28E-282	3.87E-282
ENSG00000166333	MAM	ILK	1.35E-273	2.28E-273
ENSG00000180881	MAM	CAPS2	1.20E-114	1.73E-114
ENSG00000120832	MAM	MTERF2	1.81E-84	2.49E-84
ENSG00000125124	MAM	BBS2	2.59E-75	3.51E-75
ENSG00000128000	MAM	ZNF780B	9.41E-61	1.23E-60
ENSG00000074219	MAM	TEAD2	2.04E-40	2.51E-40
ENSG00000171817	MAM	ZNF540	1.26E-34	1.52E-34
ENSG00000148677	MAM	ANKRD1	4.35E-17	4.91E-17
ENSG00000077150	MAM	NFKB2	1.5621E-06	1.6513E-06
ENSG00000181026	MAM	AEN	0.0026258	0.0026897
