ensembl	tissue	gene	P	FDR
ENSG00000128383	LIV	APOBEC3A	2.03E-304	3.53E-304
ENSG00000268734	LIV	CTB-61M7.2	2.03E-304	3.53E-304
ENSG00000146094	LIV	DOK3	2.03E-304	3.53E-304
ENSG00000122877	LIV	EGR2	2.03E-304	3.53E-304
ENSG00000179388	LIV	EGR3	2.03E-304	3.53E-304
ENSG00000186431	LIV	FCAR	2.03E-304	3.53E-304
ENSG00000085265	LIV	FCN1	2.03E-304	3.53E-304
ENSG00000187116	LIV	LILRA5	2.03E-304	3.53E-304
ENSG00000244482	LIV	LILRA6	2.03E-304	3.53E-304
ENSG00000204020	LIV	LIPN	2.03E-304	3.53E-304
ENSG00000012223	LIV	LTF	2.03E-304	3.53E-304
ENSG00000059728	LIV	MXD1	2.03E-304	3.53E-304
ENSG00000123405	LIV	NFE2	2.03E-304	3.53E-304
ENSG00000119508	LIV	NR4A3	2.03E-304	3.53E-304
ENSG00000117115	LIV	PADI2	2.03E-304	3.53E-304
ENSG00000121316	LIV	PLBD1	2.03E-304	3.53E-304
ENSG00000163993	LIV	S100P	2.03E-304	3.53E-304
ENSG00000188404	LIV	SELL	2.03E-304	3.53E-304
ENSG00000123610	LIV	TNFAIP6	2.03E-304	3.53E-304
ENSG00000204936	LIV	CD177	0.00005931	0.000061761
ENSG00000124593	AOR	PRICKLE4	0.25745	0.25826
ENSG00000261105	MAM	LMO7-AS1	0.819	0.819
